handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1
1,Product,ADAPTIL Calm  Antiestrs para perros,"Solución natural que proporciona un efecto de calma continua en situaciones estresantes. Útil para reducir los signos de estrés en casa: dificultad para quedarse solo, miedo a los ruidos, mudanzas o problemas de adaptación al nuevo hogar. Difsor eléctrico con recambio incluido: duración de hasta 30 días para una superficie de 50-70m2. Renueva el difusor cada 6 meses de uso continuado o cada 6 recambios Eficacia demostrada: recomendado y usado por veterinarios, educadores caninos y criadores. No produce somnolencia ni tiene riesgo para los humanos ni otros animales: ADAPTIL Calm proporciona calma y seguridad a los perros manteniendo su actividad y estado de vigilia.",https://images-na.ssl-images-amazon.com/images/I/41on60BtyML._AC_SX569_.jpg,Casa,Adaptil-Difusor,Difusor,24.8,0,TRUE,AMOUNT,0,,1.4,,,,,,,,,,,,,,,,,,,Cantidad,140 Gramos,,,,,,,,,,,C,2,FALSE
2,Product,ADAPTIL Calm  Antiestreacutes para perros ,"Solución natural que proporciona un efecto de calma continua en situaciones estresantes. Útil para reducir los signos de estrés en casa: dificultad para quedarse solo, miedo a los ruidos, mudanzas o problemas de adaptación al nuevo hogar. Contiene un recambio: duración de hasta 30 días para una superficie de 50-70m2. Eficacia demostrada: recomendado y usado por veterinarios, educadores caninos y criadores. No produce somnolencia ni tiene riesgo para los humanos ni otros animales: ADAPTIL Calm proporciona calma y seguridad a los perros manteniendo su actividad y estado de vigilia.",https://images-na.ssl-images-amazon.com/images/I/41G5XpvBbzL._AC_SX569_.jpg,Casa,Adaptil-Difusor-item,Difusor,19.99,0,TRUE,AMOUNT,0,,6.8,,,,,,,,,,,,,,,,,,,Cantidad,680,,,,,,,,,,,C,2,FALSE
3,Product,ADAPTIL Junior  Antiestrs para cachorros,"Solución natural que proporciona un efecto de calma y seguridad continuas. Facilita la adaptación de los cachorros (dormir por las noches sin llorar, nuevos ruidos, primeros viajes, visitas al veterinario, socialización, quedarse solo) y el aprendizaje (aprender a hacer sus necesidades, a pasear con correa o responder a indicaciones simples). Collar ajustable para perros pequeños: duración de hasta 30 días. Eficacia demostrada: recomendado y usado por veterinarios, educadores caninos y criadores. No produce somnolencia ni tiene riesgo para los humanos ni otros animales: ADAPTIL Calm proporciona calma y seguridad a los perros manteniendo su actividad y estado de vigilia.",https://images-na.ssl-images-amazon.com/images/I/41QJbcd%2B2jL._AC_SX569_.jpg,Collar,Adaptil-Collar-Jr,Collar,24.19,0,TRUE,AMOUNT,0,,1.25,,,,,,,,,,,,,,,,,,,Dimensiones del producto,3 x 14 x 17 cm,,,,,,,,,,,C,2,FALSE
4,Product,ADAPTIL Express  Tranquiliza a los perros de forma rapida,"ADAPTIL Express reduce rápidamente los signos de estrés producidos por miedo a los ruidos (tormentas, petardos, fuegos artificiales, fiesas), viajes o desplazamientos y visitas al veterinario o la peluquería. Actúa rápido: efecto visibles en menos de 2 horas. Caja de 10 comprimidos masticales con sabor a carne. Eficacia demostrada: recomendado y usado por veterinarios, educadores caninos y criadores. ADAPTIL Express ayuda a los perros a estar tranquilos disminuyendo su ansiedad y signos de miedo. No es un medicamento, no tiene efectos secundarios ni efecto sedante por lo que mantiene el estado de vigilia y la capacidad de reacción de tu perro.",https://images-na.ssl-images-amazon.com/images/I/415pTdqaw6L._AC_SX569_.jpg,Medicina Para Perros,Adaptil-Express-Tranquiliza,Medicina,9.99,0,TRUE,AMOUNT,0,,0.2,,,,,,,,,,,,,,,,,,,Comprimidos,10,,,,,,,,,,,C,2,FALSE
5,Product,ADAPTIL Transport  Antiestrs para perros,"Solución natural que proporciona un efecto de calma en situaciones estresantes_x005F_x000D_
Útil para reducir los signos de estrés durante los viajes: temblores, lloros, jadeos, inquietud, tensión, mareos y salivación excesiva_x005F_x000D_
Spray de 60 ml: duración de entre 4 y 5 horas. Contiene aproximadamente 50 usos (+/- 8 pulverizaciones por uso)_x005F_x000D_
Eficacia demostrada: recomendado y usado por veterinarios, educadores caninos y criadores_x005F_x000D_
No produce somnolencia ni tiene riesgo para los humanos ni otros animales: ADAPTIL Transport proporciona calma y seguridad a los perros manteniendo su actividad y estado de vigilia durante y después del viaje",https://images-na.ssl-images-amazon.com/images/I/61tkph1JJrL._AC_SX450_.jpg,Transport,Adaptil-Transport-Spray,Transport-Spray,21.55,0,TRUE,AMOUNT,0,,0.6,,,,,,,,,,,,,,,,,,,Cantidad,60ml,,,,,,,,,,,C,2,FALSE
6,Product,ADVANCE Pienso para Gatos Esterilizados Adultos con Pavo  15Kg,"ADVANCE Sterilized Adult es un alimento completo y equilibrado formulado específicamente para gatos adultos esterilizados. Tiene como ingredientes principales el pavo y la cebada. CONTROL DE PESO: Con fibra y L-Carnitina. Reduce el nivel calórico del alimento y ayuda a metabolizar la grasa. SALUD DENTAL: Con minerales especiales (pirofosfatos) que ayudan a prevenir la formación de sarro y favorecen el buen aliento. CUIDADO URINARIO: Combinación de minerales e ingredientes específicos para un pH óptimo de la orina. FÁCIL DIGESTIÓN: Pavo, cebada e inmunoglobulinas que ayudan a la salud digestiva y del intestino.",https://images-na.ssl-images-amazon.com/images/I/41SMV%2BjVlrL._AC_SX569_.jpg,Comida para gatos,Advance-Gatos-Esterilizados,Gatos,11.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
7,Product,ADVANCE Veterinary Diets  Gastroenteric Sensitive ,ADVANCE VETERINARY DIETS Gastroenteric Sensitive es un alimento dietético para gatos adultos que ayuda compensar las alteraciones de la digestión en caso de trastornos gastrointestinales. PREBIÓTICOS Y OMEGA 3 que ayudan a desarrollar la flora intestinal y a disminuir la inflamación. SIN GLUTEN. Elaborado con ingredientes sin gluten para minimizar el riesgo de reacciones adversas. ARROZ Y SEPIOLITA. Facilita la digestión y ayuda a generar un volumen menor de heces. PROTEÍNAS de pavo y guisante para gatos con sensibilidad digestiva.,https://images-na.ssl-images-amazon.com/images/I/41E6MBYAO2L._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Gastroenteric ,Gatos,13.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
8,Product,ADVANCE Hairball Pienso para Gatos Esterilizados  15Kg,"ADVANCE Hairball Sterilized es un alimento de alta gama indicado para gatos esterilizados con problemas de formación de bolas de pelo. Tiene como ingredientes principales el pavo y la cebada. FIBRA DE GUISANTE Y EXTRACTO DE MALTA que ayudan a prevenir la formación de bolas de pelo. FIBRA Y L-CARNITINA que reducen el nivel calórico del alimento y ayudan a metabolizar la grasa. COMBINACIÓN DE MINERALES e ingredientes específicos para un pH óptimo de la orina. PAVO, CEBADA E INMUNOGLOBULINAS que ayudan a la salud digestiva y del intestino.",https://images-na.ssl-images-amazon.com/images/I/41zuWpimAWL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Hairball,Gatos,13.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
9,Product,Advance Pienso para Gato Junior Esterilizado con Pollo  15kg,"ADVANCE Junior Sterilized está especialmente indicado para gatitos esterilizados de hasta 24 meses de edad. ÓPTIMO CRECIMIENTO. Elevado contenido de nutrientes (proteínas, vitaminas, minerales y omega 3 y 6) que aseguran un óptimo crecimiento y desarrollo. CONTROL DE PESO. con fibra y l-carnitina. Reduce el nivel calórico del alimento y ayuda a metabolizar la grasa. CUIDADO URINARIO. Combinación de minerales e ingredientes específicos para un pH óptimo de la orina. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes de fácil digestión e inmunoglobulinas que ayudan a la salud intestinal.",https://images-na.ssl-images-amazon.com/images/I/41QLAIWuCBL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Junior-Esterilizado,Gatos,11.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
10,Product,ADVANCE Pienso para Gatitos Kitten  15kg,"ADVANCE Kitten es un alimento de alta gama, específicamente formulado para cubrir las necesidades de los gatitos y de las madres al final de la gestación y durante la lactancia. ÓPTIMO CRECIMIENTO. Elevado contenido de nutrientes (proteínas, vitaminas, minerales y Omega 3 y 6) que aseguran un óptimo crecimiento y desarrollo. CEREBRO Y VISIÓN. Omega 3 y taurina que contribuyen al desarrollo de cerebro y visión. CUIDADO URINARIO. Combinación de minerales e ingredientes específicos para un pH óptimo de la orina. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes de fácil digestión e inmunoglobulinas que ayudan a la salud intestinal.",https://images-na.ssl-images-amazon.com/images/I/41e89Xrx%2BCL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Kitten,Gatos,11.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
